start_chunk	end_chunk	id_chunk	n_observed	mean_simulated	odds_ratio	u	pvalue	cintervL	cintervH	stdev
0	1000	0	42	36.426783	1.1594365662870865	0.8432602785708792	0.35846599125761036	36.43839433934164	36.41517166065836	5.924251452370249
1000	2000	1	57	35.098021	1.6602076467922526	11.956248366644026	0.0005446442398938457	35.10942514045752	35.08661685954249	5.818535974242918
2000	3000	2	37	32.915613	1.1286640874066594	0.503653109146537	0.4778993605669942	32.92668114047167	32.90454485952833	5.647104553152084
3000	4000	3	32	35.006389	0.9113924626548907	0.27490267768073906	0.6000618142508052	35.01778821319665	34.994989786803345	5.816022023744321
4000	5000	4	26	32.430299	0.7966352866022461	1.4097257651404913	0.2351019231138251	32.44128588038573	32.41931211961427	5.605644634705183
5000	6000	5	31	33.250335	0.9302421120952773	0.16088277204808588	0.6883450672913092	33.26145171278236	33.23921828721764	5.671886757312333
6000	7000	6	30	32.165607	0.9306734065240541	0.1538403996702078	0.69489202172371	32.176553675916956	32.154660324083046	5.585131808789387
7000	8000	7	40	35.855656	1.120207471869989	0.4786907624556509	0.48901594664576653	35.86720020109323	35.84411179890677	5.889996673145409
8000	9000	8	13	34.699592	0.3667282779651462	18.33799659369416	1.849807536298228e-05	34.71094906570491	34.688234934295096	5.794517843059594
9000	10000	9	36	32.723939	1.1037017372116837	0.32821213867420074	0.5667137468673633	32.7349834393032	32.7128945606968	5.635011918734422
10000	11000	10	27	32.162908	0.835197812607214	0.9034614498002718	0.34185526174662006	32.17385557770003	32.15196042229997	5.585591909863805
11000	12000	11	39	34.630156	1.1311024317169598	0.5486021936238021	0.4588894001476861	34.641474564023795	34.618837435976204	5.774873800843096
12000	13000	12	30	34.08157	0.8766839452385777	0.5261156046053719	0.4682445337724772	34.092825547948046	34.07031445205195	5.742722205983847
13000	14000	13	15	33.199743	0.4437884443129869	12.891756731920225	0.00033003250694916615	33.21084972759844	33.18863627240155	5.666792190821099
14000	15000	14	27	33.866951	0.7918330673173615	1.5441134023835659	0.21400657045638352	33.87817470036773	33.85572729963227	5.726473169726631
15000	16000	15	45	33.341623	1.3654783176393972	3.805823020382146	0.051074669403841956	33.352755304725875	33.33049069527412	5.679841963106985
16000	17000	16	31	34.791905	0.8876633645082225	0.44344859614500276	0.5054626442331264	34.80326607023325	34.78054392976675	5.7965610038172635
17000	18000	17	46	33.646135	1.3841621939111097	4.216923726086591	0.040022659521193944	33.657303937551916	33.634966062448086	5.698532491946941
18000	19000	18	38	35.824238	1.0630376542312976	0.13426434207165006	0.7140509593112181	35.83576197688685	35.81271402311315	5.879678028545102
19000	20000	19	25	31.068738	0.7998562315141761	1.307592599947995	0.2528309912219059	31.079494801989927	31.057981198010072	5.48825574179593
20000	21000	20	33	33.308211	0.9904434596871085	0.0029551606394554453	0.9566472402720684	33.319331903889065	33.297090096110935	5.6740251126937205
21000	22000	21	29	34.608055	0.8333070410917374	0.9934771609498263	0.3188940084226446	34.61939284440335	34.59671715559665	5.784710893119465
22000	23000	22	46	36.98401	1.2550623627303543	2.119635602962525	0.14542113990969352	36.99570117942317	36.972318820576824	5.964986866699708
23000	24000	23	45	35.8434	1.2670147806273873	2.245824827120849	0.13397545229148272	35.85493194089188	35.831868059108125	5.883741364132177
24000	25000	24	49	34.975703	1.420798645160136	5.19035474870071	0.022712579580435977	34.98710291588855	34.96430308411146	5.816380545991727
25000	26000	25	42	37.757676	1.1170850313285892	0.4777237804192449	0.4894551635758936	37.769484852988754	37.74586714701124	6.025025400695337
26000	27000	26	34	39.085834	0.865482695500441	0.7182953291157332	0.39670364196472596	39.09784307998749	39.073824920012505	6.127183735162836
27000	28000	27	43	38.446425	1.1235477135705372	0.5399428970051758	0.462456392743821	38.45834761288418	38.43450238711581	6.083067130927867
28000	29000	28	27	35.336175	0.7578016500825604	2.2115292206118653	0.13698282482317364	35.34763112717888	35.324718872821116	5.845060253699273
29000	30000	29	26	37.48655	0.685725228833357	4.0781557184449575	0.04344104982287421	37.49833760646435	37.474762393535656	6.014185156569425
