start_chunk	end_chunk	id_chunk	n_observed	mean_simulated	odds_ratio	u	pvalue	cintervL	cintervH	stdev
2	102	0	12	11.651768	1.0301071886995843	0.010379887612939842	0.9188505490946679	11.658434372589333	11.645101627410668	3.401267186531513
102	202	1	13	22.792519	0.566925483225439	5.045729215763746	0.024686714609024427	22.801807877778323	22.783230122221674	4.739302336276829
202	302	2	28	20.455108	1.3752660466541402	2.5278885321743	0.11184979565026175	20.463926913642158	20.44628908635784	4.499520719847393
302	402	3	9	7.618702	1.182305264159562	0.2377087396952815	0.6258659034739823	7.624094537971272	7.613309462028727	2.751340734114189
402	502	4	6	5.439592	1.103402667613566	0.05604132699646858	0.8128658761431551	5.444156830356073	5.435027169643927	2.329033892740937
502	602	5	5	5.840228	0.8556904539409175	0.1275692237297532	0.7209657851724132	5.844957832433209	5.83549816756679	2.413220028927325
602	702	6	14	6.466666	2.1749913378057193	6.595275926516852	0.01022497081376906	6.471637091103607	6.461694908896393	2.5363132386288574
702	802	7	2	6.163514	0.32366441117588957	3.835642329423087	0.050173762921689305	6.16837767668657	6.15865032331343	2.481509051324214
802	902	8	5	8.063591	0.6189078471200365	1.353725867273436	0.24462781034678777	8.069142484635229	8.058039515364772	2.832437322293116
902	1002	9	11	7.020851	1.5705934603756073	1.9296563692344826	0.16479604472733295	7.026032422022301	7.015669577977699	2.6436267202082444
